   __---~~~~--__                      __--~~~~---__
  `\---~~~~~~~~\\                    //~~~~~~~~---/'
    \/~~~~~~~~~\||                  ||/~~~~~~~~~\/
                `\\                //'
                  `\\            //'
                    ||          ||      Hey Doc!
          ______--~~~~~~~~~~~~~~~~~~--______
     ___ // _-~                        ~-_ \\ ___
    `\__)\/~                              ~\/(__/'
     _--`-___                            ___-'--_
   /~     `\ ~~~~~~~~------------~~~~~~~~ /'     ~\
  /|        `\                          /'        |\
 | `\   ______`\_         DMC        _/'______   /' |
 |   `\_~-_____\ ~-________________-~ /_____-~_/'   |
 `.     ~-__________________________________-~     .'
  `.      [_______/------|~~|------\_______]      .'
   `\--___((____)(________\/________)(____))___--/'
    |>>>>>>||                            ||<<<<<<|
    `\<<<<</'                            `\>>>>>/'

    Now, if my calculations are correct,
    when this baby hits 88 miles an hour,
    you're going to see some serious s#1t!


id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23686,2000 SF 3br 2ba West Village outdoor living house,93790,Ann,Manhattan,West Village,40.72961,-74.00308,Entire home/apt,499,5,50,2021-02-28,0.47,2,266
24285,Beautiful Duplex Apartment,97797,,Brooklyn,Park Slope,40.67115,-73.98026,Entire home/apt,220,30,88,2018-11-02,0.66,1,245
25406,"Modern Brooklyn Apt., August sublet",105538,Erik,Brooklyn,Williamsburg,40.71649,-73.94865,Entire home/apt,83,30,29,2018-05-26,0.31,1,0
25696,"1,800 sq foot in luxury building",107628,Dena,Manhattan,Harlem,40.8104,-73.94309,Private room,100,1,190,2020-01-01,1.49,1,365
26012,Sunny 2-story Brooklyn townhouse w deck and garden,109589,Jessica,Brooklyn,Gowanus,40.68085,-73.9885,Entire home/apt,200,30,20,2019-07-30,0.17,1,226
26362,"Times Square, Safe, Clean and Cozy!",59734,Luiz,Manhattan,Hell's Kitchen,40.75603,-73.99294,Private room,59,2,382,2021-04-10,2.88,1,335
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",51038,,Brooklyn,Clinton Hill,40.68822,-73.96443,Private room,98,30,30,2021-01-13,0.25,5,98
26785,Park Slope Green Guest House,42273,Dani,Brooklyn,South Slope,40.6686,-73.98723,Entire home/apt,90,30,473,2021-03-15,3.58,2,151
26969,2 story family home in Williamsburg,115307,Alexandra,Brooklyn,Williamsburg,40.7184,-73.95973,Entire home/apt,200,30,343,2020-10-31,2.66,1,61
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,115560,Stacy,Manhattan,Upper West Side,40.77839,-73.97778,Entire home/apt,225,30,28,2019-07-12,0.23,1,245
