id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4436944,COMFORTABLE & COZY-2 STOPS BARCLAY,21841949,Patwell,Brooklyn,Crown Heights,40.66825,-73.95304,Private room,75,7,25,2020-03-04,0.46,2,2
4438223,Hip 1 bedroom in perfect location,22606202,Gerald,Manhattan,Harlem,40.80785,-73.95652,Private room,166,2,7,2019-09-08,0.10,1,363
4438459,Gorgeous 1 Bedroom in the heart of NYC: Chelsea,4967319,Jessica,Manhattan,Chelsea,40.73974,-73.99985,Entire home/apt,325,2,19,2016-09-08,0.27,1,0
4438470,Home away from home East Village,3289567,Campbell,Manhattan,East Village,40.72607,-73.98045,Private room,129,2,9,2017-11-19,0.15,2,248
4438931,FURNISHED CHARMING ROOM IN MANHATTA,1405374,Jane,Manhattan,Inwood,40.86626,-73.92543,Private room,57,4,0,,,1,365
4440020,2 Bedrooms and One Bath Room,195137,James,Manhattan,Harlem,40.82272,-73.94942,Entire home/apt,199,5,47,2020-01-05,0.72,2,2
4440181,One bedroom in 2 bedroom apartment,23046908,Melissa,Brooklyn,Bedford-Stuyvesant,40.69181,-73.95952,Private room,64,1,14,2018-11-05,0.22,1,0
4440538,1 private bed room in an elevator apt w/ balcony,23048955,Mohammed,Queens,Elmhurst,40.73523,-73.8755,Private room,49,2,4,2019-10-20,0.23,1,114
4440611,Bright Spacious Bushwick Home,14546480,Irena,Brooklyn,Bushwick,40.7026,-73.92787,Entire home/apt,100,3,4,2016-06-04,0.06,1,0
4440751,Entire Amazing Chic Studio @ Lower East,3716641,Ofer,Manhattan,Lower East Side,40.72169,-73.98773,Entire home/apt,79,30,25,2020-07-15,0.36,8,340
4444204,2-3 bedroom UWS garden triplex,5162192,Amy,Manhattan,Upper West Side,40.79795,-73.96175,Entire home/apt,300,30,4,2015-10-06,0.06,15,98
4446178,Bright & big apt 3 blks from subway,946323,Ran,Brooklyn,Flatbush,40.63826,-73.96815,Entire home/apt,125,3,6,2016-07-08,0.08,1,0
4446862,Charming Room in Prospect Heights!,23077718,,Brooklyn,Crown Heights,40.67512,-73.96146,Private room,50,1,0,,,1,0
4447524,Charming West Village Studio,9685363,Ceyda,Manhattan,West Village,40.73634,-74.00841,Entire home/apt,260,4,13,2020-01-01,0.18,1,0
4447611,1 BR in Gramercy Park,10471097,Jared,Manhattan,Gramercy,40.73577,-73.98455,Entire home/apt,350,1,0,,,1,0
4447904,Beautiful Upper West Side,23083111,Michael,Manhattan,Upper West Side,40.77783,-73.9815,Entire home/apt,80,30,5,2018-08-12,0.07,1,280
4449058,Cozy Private Room in Upper WestSide,23089516,Lisa,Manhattan,Harlem,40.81693,-73.95421,Private room,150,1,26,2019-06-25,0.37,1,0
4449611,Big Duplex 1 BR/Loft w/ outdoors,16761703,Michael,Brooklyn,Bushwick,40.69796,-73.93124,Entire home/apt,165,7,0,,,1,0
4452723,Cozy 2BR apartment,2050338,Verena,Queens,Richmond Hill,40.69947,-73.82795,Entire home/apt,90,5,14,2020-07-29,0.20,3,1
4453233,Cozy Hells Kitchen/Times Sq 2BR,5827529,Ariel,Manhattan,Hell's Kitchen,40.76221,-73.99028,Entire home/apt,160,1,8,2015-10-18,0.11,1,0
4453484,Prime Artist Loft &  Exposed Brick,2166065,Peter,Brooklyn,Williamsburg,40.71909,-73.95897,Entire home/apt,233,2,142,2020-09-20,2.02,1,343
4454122,Cozy Harlem Hideaway **,1390414,Loryn,Manhattan,Harlem,40.81071,-73.94433,Entire home/apt,115,2,96,2020-02-16,1.35,1,0
4454400,NYC UES charming 1 bedroom,454009,Nicholas,Manhattan,Upper East Side,40.77481,-73.95562,Entire home/apt,250,2,0,,,1,0
4454538,"Bright, Spacious Entire Studio",22552201,Lane,Manhattan,Upper West Side,40.7982,-73.97119,Entire home/apt,115,5,9,2015-12-31,0.13,1,0
4455094,West Village Style and Charm,13541655,Michael,Manhattan,West Village,40.72928,-74.00806,Private room,99,3,206,2020-03-12,3.31,1,73
4455301,Pretty and Private in Clinton Hill,8490286,Jan,Brooklyn,Clinton Hill,40.68653,-73.96412,Entire home/apt,75,3,223,2020-10-01,3.15,1,319
4456004,Spacious Bedroom in Bushwick w/AC,1171707,Gabriel,Brooklyn,Bushwick,40.70112,-73.91201,Private room,60,3,4,2016-06-12,0.06,1,0
4456312,Spacious Bright Bronx Private Room for Rest/Study,3551179,Veralisa,Bronx,Kingsbridge,40.87829,-73.89337,Private room,59,3,22,2020-01-09,0.36,1,344
4456555,Entire flr-thru 2bdrm apartment near ProspectPark!,747671,Sarah Jazmine,Brooklyn,South Slope,40.66347,-73.98438,Entire home/apt,180,1,7,2017-01-01,0.10,1,0
4456880,Superhost 3 bedroom DISCOUNT,21641206,Veronica,Brooklyn,Bedford-Stuyvesant,40.69725,-73.94908,Entire home/apt,236,1,4,2016-02-29,0.06,3,0
4457556,cozy queen for 2 in el barrio,22904933,Charlene,Manhattan,East Harlem,40.79849,-73.93843,Private room,39,3,68,2020-03-19,1.03,2,0
4460838,The Elizabeth,14758012,Stéphane,Manhattan,Nolita,40.72421,-73.99304,Entire home/apt,195,3,66,2018-04-15,0.96,1,175
4462491,Beautiful Loft in LES Manhattan!,302529,Cynthia,Manhattan,Lower East Side,40.71331,-73.98189,Entire home/apt,175,3,2,2015-12-08,0.03,1,0
4462553,Greenwich / West Village 2 Bedroom,15778416,Courtney,Manhattan,West Village,40.73066,-74.00371,Entire home/apt,175,1,0,,,2,0
4464418,Charming 1BD Pre-War Apartment,6526979,Kim,Manhattan,Upper West Side,40.78962,-73.97718,Entire home/apt,165,2,9,2015-05-19,0.13,1,0
